Timestamp,datetime,symbol,high,low,open,close,volume,Date,Time,High,Low,Open,Close,TotalVolume
1537885140,2018-09-25 22:19:00,EOSUSDT,5.1905,5.1871,5.1905,5.19,4649.83,2018-09-25,22:19:00,5.1905,5.1871,5.1905,5.19,464983
1537885200,2018-09-25 22:20:00,EOSUSDT,5.1899,5.1873,5.1899,5.1887,9322.68,2018-09-25,22:20:00,5.1899,5.1873,5.1899,5.1887,932268
1537885260,2018-09-25 22:21:00,EOSUSDT,5.1888,5.1697,5.1873,5.1804,6907.48,2018-09-25,22:21:00,5.1888,5.1697,5.1873,5.1804,690748
1537885320,2018-09-25 22:22:00,EOSUSDT,5.1832,5.1791,5.1811,5.1825,2957.49,2018-09-25,22:22:00,5.1832,5.1791,5.1811,5.1825,295749
1537885380,2018-09-25 22:23:00,EOSUSDT,5.1892,5.1766,5.1805,5.181,19606.0,2018-09-25,22:23:00,5.1892,5.1766,5.1805,5.181,1960600
1537885440,2018-09-25 22:24:00,EOSUSDT,5.191,5.1806,5.1807,5.1813,7807.13,2018-09-25,22:24:00,5.191,5.1806,5.1807,5.1813,780713
1537885500,2018-09-25 22:25:00,EOSUSDT,5.1861,5.1807,5.1832,5.1823,9029.6,2018-09-25,22:25:00,5.1861,5.1807,5.1832,5.1823,902960
1537885560,2018-09-25 22:26:00,EOSUSDT,5.1861,5.1818,5.1825,5.1839,11516.52,2018-09-25,22:26:00,5.1861,5.1818,5.1825,5.1839,1151652
1537885620,2018-09-25 22:27:00,EOSUSDT,5.186,5.1823,5.186,5.1824,13170.13,2018-09-25,22:27:00,5.186,5.1823,5.186,5.1824,1317013
1537885680,2018-09-25 22:28:00,EOSUSDT,5.1858,5.18,5.1841,5.1823,10503.44,2018-09-25,22:28:00,5.1858,5.18,5.1841,5.1823,1050344
1537885740,2018-09-25 22:29:00,EOSUSDT,5.1814,5.1781,5.1809,5.1788,8446.63,2018-09-25,22:29:00,5.1814,5.1781,5.1809,5.1788,844662
